,Total Return [%],Sharpe Ratio,Max Drawdown [%],Win Rate [%],Expectancy,Exposure Time [%]
ADA/BTC,,,,49.382716049382715,-0.2085952074763135,
ALGO/BTC,,,,63.2996632996633,-0.14597720028539615,
ATOM/BTC,,,,47.55244755244755,-0.17621471890130125,
AVA/BTC,,,,48.888888888888886,-0.18015698895409413,
BCH/BTC,,,,28.837209302325583,-0.24110319649829084,
BEL/BTC,,,,49.166666666666664,-0.21542514765770399,
BNB/BTC,,,,32.17391304347826,-0.3086585380754354,
CRV/BTC,,,,50.55762081784386,-0.22996928970260283,
CTXC/BTC,,,,55.76036866359447,-0.1397922394377462,
DASH/BTC,,,,42.704626334519574,-0.212435788858662,
DIA/BTC,,,,46.64536741214057,-0.2124996396364758,
DOGE/BTC,,,,74.52830188679245,0.02738498791957189,
DOT/BTC,,,,45.714285714285715,-0.17120885092629298,
EGLD/BTC,,,,45.414847161572055,-0.24050547337408684,
EOS/BTC,,,,45.18518518518518,-0.2150905319305018,
ETC/BTC,,,,38.860103626943,-0.23611639515470179,
ETH/BTC,,,,37.16814159292036,-0.3426853638136059,
FET/BTC,,,,52.84974093264248,-0.20675951273971416,
GAS/BTC,,,,40.234375,-0.18336768629021505,
HBAR/BTC,,,,62.5,-0.04123261786715887,
HIVE/BTC,,,,54.416961130742045,-0.10002998997144236,
IOTA/BTC,,,,62.01298701298701,-0.12089510591585009,
KAVA/BTC,,,,41.92139737991266,-0.18933528465769217,
LINK/BTC,,,,43.19526627218935,-0.2550107514910678,
LTC/BTC,,,,58.59375,-0.13155462405534873,
MANA/BTC,,,,45.302013422818796,-0.1971435271220293,
MKR/BTC,,,,43.66812227074236,-0.19892235399547453,
NEO/BTC,,,,37.84722222222222,-0.21101029266238658,
PAXG/BTC,,,,28.135593220338983,-0.1372060310643623,
QTUM/BTC,,,,44.57831325301205,-0.2115615219988764,
RLC/BTC,,,,54.23728813559322,-0.21792264209597137,
RUNE/BTC,,,,50.28901734104046,-0.4081069940818296,
SAND/BTC,,,,37.9746835443038,-0.19888308499889334,
SNX/BTC,,,,48.122866894197955,-0.2043999745802839,
SOL/BTC,,,,41.81818181818181,-0.36948600719978975,
STEEM/BTC,,,,75.53191489361703,0.4540473455206081,
STX/BTC,,,,44.61538461538462,-0.2450703476689414,
SUSHI/BTC,,,,53.24074074074075,-0.2614530122593181,
THETA/BTC,,,,43.18181818181818,-0.23489671551918861,
TRX/BTC,,,,73.80952380952381,0.1834094937168959,
UNI/BTC,,,,38.73517786561265,-0.23227630058550866,
WBTC/BTC,,,,0.0,-0.21063185557382078,
XLM/BTC,,,,49.815498154981555,-0.10917418542655191,
XRP/BTC,,,,45.535714285714285,-0.33652209028819946,
XTZ/BTC,,,,38.095238095238095,-0.21239146958119076,
YFI/BTC,,,,39.62962962962963,-0.21598441212603212,
ZEC/BTC,,,,52.159468438538205,-0.15352615081749285,
ZEN/BTC,,,,49.46619217081851,-0.22208622115191812,
agg_func_mean,-42.00686533658164,-12.123671843721588,49.47491756376224,,,
